ln,fn,day,month,year,F,M,Similarity
SMITH JR,WILLIAM,3,1,1968,1,0,51
ROTHMEYER JR,WILLIAM,3,1,1968,1,0,51
ASBY JR,WILLIAM,3,1,1968,1,0,51
SALTER JR,WILLIAM,3,1,1968,1,0,1
SALTER JR,WILLIAM,3,1,1968,1,0,1
BLAND JR,WILLIAM,21,2,2062,1,0,4
BLAND JR,WILLIAM,21,2,2062,1,0,4
BLAND JR,WILLIAM,21,2,2062,1,0,4
SHAFFER JR,WILLIAM,21,2,2062,1,0,39
SHAFFER JR,WILLIAM,21,2,2062,1,0,39
BLAND III,WILLIAM,21,2,2062,1,0,20
BLAND JR,BILL,21,2,2062,1,0,34
BLAND,WILLIAM,21,2,2062,1,0,20
BLAND JR,WILLIAM,21,2,2062,1,0,4
BLAND JR,WILLIAM,6,8,2054,1,0,11
BLAND JR,WILLIAM,6,8,2054,1,0,11
BLAND JR,WILLIAM,25,10,2053,1,0,19
BLAND JR,WILLIAM,25,10,2053,1,0,19
SHAFFER JR,WILLIAM,25,10,2053,1,0,45
DUNCAN JR,THOMAS,25,10,2053,1,0,48
CARLSON JR,ROY,25,10,2053,1,0,28
CARLSON JR,RON,25,10,2053,1,0,18
DUNCAN JR,ROY,25,10,2053,1,0,28
MICHAELSON,ROY,25,10,2053,0,1,22
MICHAELSON JR,ROY,25,10,2053,0,1,8
MICHAELSON,ROY,25,10,2053,0,1,22
MICHAELSON JR,ROY,25,10,2053,0,1,8
MICHAELSON JR,ROY,5,1,2051,0,1,0
MICHAELSON JR,ROY,17,6,2048,0,1,30
MICHAELSON JR,ROY,17,6,2048,0,1,30
MICHAELSON JR,ROY,4,9,2047,0,1,31
MICHAELSON JR,ROBERT,4,9,2047,0,1,49
MICHAELSON JR,BOB,4,9,2047,0,1,15
MUSTAPHA JR,OWEN,3,11,2047,0,1,25
MUSTAPHA JR,OWAN,3,11,2047,0,1,46
HOUGHTON JR,LAWRENCE,31,1,2046,0,1,3
HOUGHTON JR,LAWRENCE,31,1,2046,0,1,3
HOUGHTON JR,LAWRENCE,31,1,2046,0,1,3
LIND JR,LAWRENCE,31,1,2046,0,1,43
LIND JR,LAWRENCE,31,1,2046,0,1,43
LIND JR,KENNETH,31,1,2046,0,1,33
LIND JR,KENNETH,31,1,2046,0,1,33
LIND JR,JOHN,20,1,2046,0,1,17
CAIN JR,JOHN,20,1,2046,0,1,17
CLARK,JOHN,6,9,2045,0,1,14
CLARK,RONALD,2,9,2045,0,1,42
CLARK,DONALD,2,9,2045,0,1,10
CLARK,JOHN,16,12,2044,0,1,29
CLARK JR,JOHN,16,12,2044,0,1,16
CLARK JR,JOHN,16,12,2044,0,1,16
MICHAELSON JR,JOHN,16,12,2044,0,1,21
MICHAELSON JR,JOHN,16,12,2044,0,1,21
MICHAELSON JR,JOHN,16,12,2044,0,1,21
MICHAELSON JR,JOHN,24,4,2040,0,1,5
MICHAELSON JR,JOHN,24,4,2040,0,1,5
MICHAELSON JR,JOHN,24,6,2039,0,1,5
MICHAELSON JR,JOHN,24,6,2039,0,1,5
MICHAELSON JR,JOHN,24,6,2039,0,1,5
MICHAELSON JR,JAMES,24,6,2039,0,1,13
MICHAELSON JR,JAMES,24,6,2039,0,1,13
MICHAELSON JR,JACK,24,6,2039,0,1,37
MICHAELSON JR,JACK,6,9,2039,0,1,32
LARSON JR,HAROLD,6,9,2039,0,1,36
LARSON JR,HAROLD,6,9,2039,0,1,36
MUSTAPHA JR,HAROLD,10,7,2037,0,1,38
HOUGHTON JR,HAROLD,10,7,2037,0,1,50
MELVIN JR,HAROLD,10,7,2037,0,1,2
MELVIN JR,HAROLD,10,7,2037,0,1,2
MELVIN JR,HAROLD,10,7,2037,0,1,2
MELVIN JR,HAROLD,10,7,2037,0,1,2
