ln,dob,gn,fn
CLARK JR,16-12-44,M,JOHN
BLAND JR,21-02-62,F,WILLIAM
MICHAELSON JR,17-06-48,M,ROY
GRIFFIN JR,07-05-37,M,CLIFFORD
BLAND JR,08-06-54,F,WILLIAM
MICHAELSON,25-10-53,M,ROY
BLAND JR,25-10-53,F,WILLIAM
HANNA,24-11-34,M,ADDISON J
MELVIN JR,07-10-37,M,HAROLD
MICHAELSON JR,25-10-53,M,ROY
MICHAELSON JR,16-12-44,M,JOHN
LIND JR,31-01-46,M,KENNETH
MICHAELSON JR,07-10-37,M,HAROLD
CHAVAS JR,07-10-37,M,HAROLD
LARSON JR,09-06-39,M,HAROLD
SHAFFER JR,21-02-62,F,WILLIAM
FUNARO J,06-12-37,F,HARRIET
Frometa,01-02-00,M,Vladimir
SALTER JR,01-03-68,F,WILLIAM
SINGH RAWAT,01-01-90,M,DHRUV
MICHAELSON JR,24-06-39,M,JOHN
BLAND III,21-02-62,F,WILLIAM
MICHAELSON JR,24-06-39,M,JAMES
HOUGHTON JR,31-01-46,M,LAWRENCE
LIND JR,20-01-46,M,JOHN
CLARK,09-02-45,M,RONALD
CARLSON JR,25-10-53,F,ROY
MICHAELSON JR,09-04-47,M,ROBERT
MUSTAPHA JR,11-03-47,M,OWEN
DUNCAN JR,25-10-53,F,THOMAS
FAGEN JR,07-10-37,M,HAROLD
GRIFFIN JR,07-05-37,M,DARL
FAGEN JR,07-10-37,M,GEORGE
MICHAELSON JR,09-06-39,M,JACK
HANNA,24-11-34,M,ADDISON JOHN
GALETICH JR,15-10-32,M,ADDISON
MICHAELSON JR,01-05-51,M,ROY
CLARK,09-06-45,M,JOHN
BLAND JR,21-02-62,F,BILL
CLARK,16-12-44,M,JOHN
MICHAELSON JR,09-04-47,M,ROY
SHAFFER JR,25-10-53,F,WILLIAM
